Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2000,4.059701828,3.682536543,5.297807366,3.670045635,3.118191946,3.648627693,2.907975622,3.793644717,5.768635753,4.882733971,4.246405617,4.955110739,2.93372325,3.629417552,3.402771325,2.967340595,4.019352645,2.665243857,4.74166789,2.510190812,4.029501824,2.549984667,3.554852249,3.207616091,3.643460831,4.037720829,3.292747133,3.767918783,3.744413256,2.257753365,2.776649414,4.761012091,2.545670143,4.421756242,2.206633448,3.707687917,4.060824412,4.494652626,2.575300133,3.178708008,4.416462364,2.153027645,4.183040288,4.410444748,4.220325466,2.873394248,2.746409381,4.735973354,2.286290662,2.972290454,3.031499731
2001,3.880806101,3.647864519,5.537133448,3.681377666,3.285985126,3.868222343,2.782392439,3.441372077,5.972837701,4.77245927,4.149278708,5.131501358,2.890297243,3.460820245,3.459637319,3.032109905,3.916551407,2.681084703,4.651131022,2.576729076,4.08382566,2.619078821,3.526768632,3.319312977,3.835125536,4.234874035,3.336344428,4.025308846,3.679167968,2.151318992,2.835204859,4.54283037,2.409099435,4.443746528,2.338095478,3.825677509,4.094653994,4.737411482,2.550697273,3.375325804,4.032428167,2.177240285,4.407510007,4.579850765,4.008874834,2.66420917,2.886946011,4.796848616,2.280072989,3.090094496,3.260366124
2002,4.020944574,3.746275936,5.833386634,3.733138407,3.350275927,3.995391588,2.686083497,3.340042235,6.389407565,4.650446185,4.048439835,5.781678499,2.917537511,3.395642437,3.392802288,3.16256691,3.71032047,2.623597843,4.435728362,2.548158929,3.977639257,2.609803882,3.333782401,3.267632458,3.815888532,4.063760064,3.161350834,3.942793694,3.859965374,2.058733107,2.649744479,4.338244767,2.307661551,4.251223476,2.327987258,3.755940562,4.23984333,4.576013449,2.439122662,3.303839772,4.475281476,2.101271511,4.30199357,4.611014388,4.215466684,2.423320445,2.848862734,4.761364153,2.28090437,3.027808592,3.307379342
2003,4.049123346,3.742189643,5.632425108,3.621436438,3.424277105,3.940942556,2.606698337,3.384379767,5.800306718,4.452041675,4.254612846,5.237482586,2.908663487,3.284400007,3.357746726,2.961146878,3.994004789,2.68146282,4.349521188,2.456713803,3.801442355,2.549467453,3.277346147,3.116807906,3.720393811,4.014455996,3.098011052,3.711397345,4.28837108,2.053915276,2.544442278,4.123568905,2.248282514,4.277975385,2.096122505,3.640471789,4.306040782,4.782284282,2.431297514,2.994989611,4.477072458,2.001677332,4.379391237,4.595345916,4.225532402,2.200104344,2.704062775,4.754898723,2.359428046,2.88264585,3.321349767
2004,4.025003852,3.382791581,5.340457263,4.013036265,3.418958244,3.91928288,2.627180469,3.163913657,4.859057347,4.17965322,4.265937948,4.79276868,2.794377511,3.186107135,3.397621734,2.905311342,3.973457157,2.53765025,4.410167037,2.409559895,3.640228296,2.459672361,3.057644804,3.039017377,3.478511288,3.90345632,2.936242063,3.520576186,4.206622405,2.040092343,2.429198061,4.197733502,2.198637672,4.16015462,1.91655921,3.673179125,4.242081785,4.631270472,2.414992328,2.884053036,4.504762667,1.933497042,4.306467318,4.494001829,4.08561769,2.308197376,2.676576816,4.849246944,2.506232944,2.663084182,3.334261217
2005,3.892068292,3.612537124,4.838034567,4.057889559,3.322611856,4.039482318,2.558017171,3.1113519,4.746957882,4.007888987,4.172288003,4.792604106,2.69792932,3.080283414,3.456296767,2.833666067,3.78698919,2.530499676,3.68312779,2.413082054,3.544093731,2.363604852,3.091071312,3.084106742,3.260120886,3.92753146,3.142881571,3.423211566,4.241498389,1.796418157,2.333020759,4.148292041,2.108531818,4.07514843,1.978240144,3.66274827,4.042014902,4.399795005,2.417162364,2.718853287,4.339421816,1.776442038,4.275528307,4.33199644,3.868909149,2.280715833,2.638188614,4.893015143,2.625194292,2.66021772,3.155348384
2006,3.936069128,3.604938714,4.627883285,3.967487669,3.170857701,3.451314718,2.504102221,3.417905131,4.65375819,3.986116443,3.889206478,4.230422762,2.418809859,3.019629878,3.502436042,2.802703478,3.750187676,2.544486854,3.993662903,2.518663351,3.480867215,2.390995578,3.212781989,3.079463707,3.208785998,3.826475817,2.687501588,3.340720713,4.088752325,1.87406599,2.291897815,3.937175861,2.052730983,4.120812894,2.000261061,3.678644183,3.604201148,3.672085557,2.443511461,2.586899711,4.242338268,1.6196051,4.128251907,4.081456767,3.516422928,2.304666714,2.478200637,4.480019538,2.621544485,2.817795931,2.980559374
2007,3.971562611,3.379479661,4.414021365,3.953052017,3.033002706,3.006079381,2.399902464,3.370052407,4.913886301,4.089294083,3.901013646,4.225378451,2.246562296,2.935775848,3.396630161,2.61555545,3.678678327,2.518299063,4.076000116,2.428775432,3.431544953,2.391501693,3.065731305,3.036562304,3.200783888,3.738405676,2.765432563,3.161440145,3.777838934,1.892040601,2.213075875,3.725744512,1.978554057,4.087326918,1.889591459,3.455235614,3.526426776,3.526206452,2.361311924,2.622628168,4.271652235,1.652319603,4.088606285,4.121177793,3.500281628,2.322721463,2.466373906,4.030796373,2.524951229,2.837722524,2.865941128
2008,4.082949012,2.932275282,4.290958097,3.835132854,2.940274833,2.848997946,2.458749042,3.585303725,5.104649453,4.140767795,4.015540778,3.571190143,2.101237945,2.932629171,3.335768204,2.420904863,3.377247484,2.583922918,3.823119455,2.452417703,3.517557255,2.400119914,2.934845696,2.850551673,2.940429821,3.663725841,2.602952121,2.87860709,3.447470874,2.091944956,2.293375268,3.909177587,1.993468853,4.044071324,1.894366318,3.411675697,3.442382564,3.282190783,2.410228755,2.84063008,4.234184562,1.645622822,4.042631179,3.985575847,3.357410986,2.538509827,2.518107335,3.758430006,2.568631687,2.756359446,2.717264788
2009,3.772351142,2.945997913,3.55654784,3.773659347,2.731516633,2.666163557,2.33582356,3.349594745,4.745379442,3.840819887,3.666621868,3.661195604,1.988677715,2.736915616,3.11624597,2.308654404,3.207808292,2.512706552,3.794592968,2.403472348,3.20067908,2.30396596,2.837770783,2.641043452,2.95328991,3.385307587,2.464027799,2.761520389,3.055633852,2.160995036,2.079724714,3.735835368,1.935961466,3.668076484,1.932768952,3.270940066,3.573832739,2.9670982,2.201643235,2.610782855,3.888611918,1.719386053,3.754057571,4.015547063,3.27536871,2.401408904,2.428808298,3.666879496,2.526738166,2.608167895,2.63729399
2010,3.516763269,2.85245223,3.533986221,3.558913522,2.635797927,2.684166614,2.193169352,3.44824898,4.778943135,3.558448853,3.640499923,3.314192962,1.995812659,2.680998099,3.042350769,2.242516056,3.119920031,2.551270727,3.647549771,2.479295914,2.997305645,2.350545518,2.713585278,2.572264879,2.985006219,3.346409131,2.543826402,2.673159065,2.774693016,2.186301245,2.081940478,3.435446846,1.941165342,3.447324063,1.768533923,3.24518589,3.415462856,3.012941019,2.173002396,2.556606848,3.900384921,1.852415928,3.65786573,3.782957954,3.179582363,2.282254159,2.327152125,3.70661785,2.239618693,2.507690365,2.46156139
2011,3.606066537,2.632838811,3.554520976,3.754111244,2.583846105,2.606338029,2.167419916,3.410627966,4.795500295,3.521965215,3.626534735,3.337843047,2.068600018,2.688772165,3.161845423,2.330300437,3.080134771,2.708820247,3.688525665,2.545498077,2.860170455,2.258659383,2.612131585,2.549439546,3.02550401,3.308805914,2.31967774,2.752896522,2.560512492,2.283882342,2.150727427,3.53151246,1.912413216,3.526800513,1.936742249,3.354687257,3.356237149,3.114627883,2.222251694,2.676776036,3.904167993,1.817658922,3.595944187,3.472288516,2.973070635,2.30895342,2.249597486,3.574592118,2.273893425,2.432679764,2.266447009
2012,3.50222303,2.739357084,3.539157258,3.660095126,2.758742245,2.684680454,2.140015993,3.340886192,4.860806898,3.27674788,3.410593506,3.07524242,1.983483401,2.578690674,3.029247091,2.271788369,3.14320811,2.552863142,3.54062991,2.509870658,2.753492485,2.15296268,2.530526056,2.568292063,2.810990959,3.314353997,2.58371711,2.754907641,2.809421475,2.323963178,2.047257685,3.600701594,1.921997872,3.369478469,2.010068208,3.117428844,3.401025474,3.224201553,2.166296236,2.572332266,3.822197026,2.060108909,3.371372484,3.361802738,2.991783313,2.398679895,2.162080083,3.658584326,2.364864319,2.453776353,2.293845374
2013,3.351309819,2.885196128,3.399061121,3.602553649,2.658074589,2.65845185,1.974094013,3.065517759,4.808267938,3.105284853,3.346611401,3.05365748,1.864296809,2.274335737,2.854037391,2.1938794,2.94683024,2.36291307,3.582035988,2.292174521,2.663483793,2.051226807,2.327635393,2.42040226,2.724652624,3.137005886,2.556530219,2.62336528,2.837746977,2.194250067,1.88279152,3.704813774,1.824821548,3.128017092,2.094020816,2.927461937,3.273724812,3.173916971,2.060780499,2.442009641,3.624185025,1.91471658,3.18087592,3.258196127,2.950354238,2.2142253,2.06592776,3.710327587,2.103916078,2.188651949,2.19837366
2014,3.177604051,2.760026713,3.197511871,3.33802032,2.44105921,2.530123046,1.920383732,2.981998987,5.182480312,3.415451948,3.281219624,3.050027438,1.854797658,2.075877018,2.649383684,2.093767681,2.735207493,2.246900785,3.458821647,1.986408428,2.507509947,1.857070766,2.043890151,2.297471603,2.921165407,2.906479974,2.472891687,2.523461297,2.625410385,1.962672961,1.734056449,3.542289597,1.718211788,2.873069532,2.110260966,2.799063632,2.990729106,2.879045821,1.931742885,2.173577224,3.460271554,1.863861459,3.060562327,3.019383715,2.87848525,1.524350344,1.930271697,3.706080694,2.034668485,2.088348475,1.964724995
2015,2.978938579,2.81759187,3.033172648,3.251489824,2.618262269,2.641510955,1.811976209,2.690991126,4.676240799,2.813192976,3.022293012,3.79616416,1.743759555,1.988562204,2.596001619,2.047345321,2.720081219,2.177627041,3.353420155,1.830022387,2.314996951,1.690666255,1.88560914,2.222095113,2.833575007,2.854230143,2.623556439,2.241072888,2.668320162,1.745743299,1.626487928,3.697360666,1.604022795,2.750059197,2.116452445,2.587738344,2.885917811,2.946628884,1.812809573,1.897475902,3.293304571,1.942993865,2.936170013,2.831321753,2.979987109,1.406614892,1.866517126,3.463833221,2.01997909,1.973962013,1.902553629
2016,2.947833775,3.353039653,2.978356447,3.268570748,2.55304348,2.740705111,1.808048871,2.765987616,4.802912636,2.686785392,3.004450567,2.992740227,1.74418052,2.049019262,2.589441091,2.0860416,2.695535256,2.189735617,3.297672239,1.645688742,2.284487838,1.561104669,1.90989394,2.13327942,2.768135988,2.799097325,2.683497679,2.263260337,2.586581625,1.512891493,1.544552281,3.937069171,1.545588925,2.737467266,2.295923752,2.577470174,2.982928009,2.964359045,1.742733448,1.898665879,3.243784316,1.980578979,2.854149195,2.759782326,2.951543597,1.697422646,1.859433786,3.494141054,2.047237128,1.933304123,1.957298109
2017,2.95728168,3.542062328,2.914867871,3.078575592,2.496706031,2.701602275,1.769948252,2.440591347,4.283890416,2.512437811,2.860170294,2.829486851,1.63540665,2.011377421,2.416925136,2.125274699,2.800877272,2.129074451,3.366797365,1.507065986,2.222274729,1.436991268,1.799963884,2.191512185,2.733856104,2.833926444,2.591640306,2.27402457,2.612440999,1.381819265,1.555535617,3.941726092,1.514176827,2.545267549,2.197796379,2.419105058,2.876365094,2.986451597,1.649442737,1.751634283,3.195923707,1.876237544,2.940566863,2.562580296,2.780227046,1.436687153,1.792852909,3.173577587,1.852018083,1.808339357,1.830437672