state,period,amount
United States,1998,158481200
Alabama,1998,2361892
Alaska,1998,382166
Arizona,1998,2616288
Arkansas,1998,1445536
California,1998,18432865
Colorado,1998,2732491
Connecticut,1998,2036825
Delaware,1998,476426
District of Columbia,1998,698434
Florida,1998,8317201
Georgia,1998,4607959
Hawaii,1998,738175
Idaho,1998,732684
Illinois,1998,7139373
Indiana,1998,3543278
Iowa,1998,1877486
Kansas,1998,1723552
Kentucky,1998,2223896
Louisiana,1998,2336386
Maine,1998,748614
Maryland,1998,2935441
Massachusetts,1998,3896096
Michigan,1998,5383530
Minnesota,1998,3189396
Mississippi,1998,1445429
Missouri,1998,3385244
Montana,1998,535785
Nebraska,1998,1138369
Nevada,1998,1131237
New Hampshire,1998,743341
New Jersey,1998,4500635
New Mexico,1998,937525
New York,1998,9901394
North Carolina,1998,4708195
North Dakota,1998,434930
Ohio,1998,6599132
Oklahoma,1998,1938705
Oregon,1998,2021755
Pennsylvania,1998,6657699
Rhode Island,1998,554761
South Carolina,1998,2191440
South Dakota,1998,490715
Tennessee,1998,3339584
Texas,1998,11541749
Utah,1998,1309652
Vermont,1998,381006
Virginia,1998,4167798
Washington,1998,3382924
West Virginia,1998,868370
Wisconsin,1998,3287793
Wyoming,1998,310043
New England,1998,8360643
Mideast,1998,25170029
Great Lakes,1998,25953106
Plains,1998,12239692
Southeast,1998,38013686
Southwest,1998,17034267
Rocky Mountain,1998,5620655
Far West,1998,26089122
United States,1999,161531300
Alabama,1999,2378217
Alaska,1999,381307
Arizona,1999,2695892
Arkansas,1999,1460374
California,1999,18852334
Colorado,1999,2808435
Connecticut,1999,2070018
Delaware,1999,491018
District of Columbia,1999,711478
Florida,1999,8577884
Georgia,1999,4728750
Hawaii,1999,738111
Idaho,1999,747188
Illinois,1999,7218569
Indiana,1999,3596542
Iowa,1999,1896080
Kansas,1999,1740420
Kentucky,1999,2264164
Louisiana,1999,2352801
Maine,1999,762975
Maryland,1999,3007654
Massachusetts,1999,3962492
Michigan,1999,5485654
Minnesota,1999,3256931
Mississippi,1999,1469707
Missouri,1999,3422953
Montana,1999,543115
Nebraska,1999,1156816
Nevada,1999,1189071
New Hampshire,1999,760763
New Jersey,1999,4571128
New Mexico,1999,942297
New York,1999,10164527
North Carolina,1999,4802414
North Dakota,1999,435651
Ohio,1999,6681355
Oklahoma,1999,1953349
Oregon,1999,2051144
Pennsylvania,1999,6764360
Rhode Island,1999,566528
South Carolina,1999,2240690
South Dakota,1999,501684
Tennessee,1999,3397301
Texas,1999,11761409
Utah,1999,1338175
Vermont,1999,389726
Virginia,1999,4261127
Washington,1999,3446900
West Virginia,1999,868236
Wisconsin,1999,3350388
Wyoming,1999,315198
New England,1999,8512502
Mideast,1999,25710165
Great Lakes,1999,26332508
Plains,1999,12410535
Southeast,1999,38801665
Southwest,1999,17352947
Rocky Mountain,1999,5752111
Far West,1999,26658867
United States,2000,165370800
Alabama,2000,2392225
Alaska,2000,389734
Arizona,2000,2801510
Arkansas,2000,1482449
California,2000,19228895
Colorado,2000,2918002
Connecticut,2000,2118177
Delaware,2000,503458
District of Columbia,2000,735304
Florida,2000,8881279
Georgia,2000,4860810
Hawaii,2000,749439
Idaho,2000,776910
Illinois,2000,7357491
Indiana,2000,3648148
Iowa,2000,1915254
Kansas,2000,1760312
Kentucky,2000,2306481
Louisiana,2000,2388668
Maine,2000,784039
Maryland,2000,3092125
Massachusetts,2000,4070320
Michigan,2000,5621494
Minnesota,2000,3330936
Mississippi,2000,1476295
Missouri,2000,3470846
Montana,2000,552690
Nebraska,2000,1173756
Nevada,2000,1254358
New Hampshire,2000,783545
New Jersey,2000,4748598
New Mexico,2000,964919
New York,2000,10424526
North Carolina,2000,4891957
North Dakota,2000,440643
Ohio,2000,6789300
Oklahoma,2000,1994373
Oregon,2000,2092153
Pennsylvania,2000,6905286
Rhode Island,2000,582589
South Carolina,2000,2279819
South Dakota,2000,512377
Tennessee,2000,3459310
Texas,2000,12138771
Utah,2000,1380538
Vermont,2000,400963
Virginia,2000,4399151
Washington,2000,3526778
West Virginia,2000,875561
Wisconsin,2000,3413585
Wyoming,2000,324653
New England,2000,8739633
Mideast,2000,26409297
Great Lakes,2000,26830018
Plains,2000,12604124
Southeast,2000,39694005
Southwest,2000,17899573
Rocky Mountain,2000,5952793
Far West,2000,27241357
United States,2001,165522200
Alabama,2001,2376053
Alaska,2001,394565
Arizona,2001,2829002
Arkansas,2001,1482587
California,2001,19341458
Colorado,2001,2941583
Connecticut,2001,2125253
Delaware,2001,502735
District of Columbia,2001,741793
Florida,2001,8938947
Georgia,2001,4871814
Hawaii,2001,752548
Idaho,2001,783399
Illinois,2001,7309738
Indiana,2001,3588944
Iowa,2001,1902198
Kansas,2001,1767601
Kentucky,2001,2283616
Louisiana,2001,2397993
Maine,2001,787577
Maryland,2001,3119857
Massachusetts,2001,4075959
Michigan,2001,5526201
Minnesota,2001,3347326
Mississippi,2001,1455992
Missouri,2001,3451902
Montana,2001,559924
Nebraska,2001,1175112
Nevada,2001,1285310
New Hampshire,2001,788168
New Jersey,2001,4777145
New Mexico,2001,976506
New York,2001,10438676
North Carolina,2001,4855476
North Dakota,2001,445433
Ohio,2001,6725753
Oklahoma,2001,2009183
Oregon,2001,2079058
Pennsylvania,2001,6915464
Rhode Island,2001,585235
South Carolina,2001,2256571
South Dakota,2001,511664
Tennessee,2001,3421028
Texas,2001,12284685
Utah,2001,1391757
Vermont,2001,403836
Virginia,2001,4417451
Washington,2001,3515729
West Virginia,2001,872546
Wisconsin,2001,3403719
Wyoming,2001,330130
New England,2001,8766028
Mideast,2001,26495670
Great Lakes,2001,26554355
Plains,2001,12601236
Southeast,2001,39630074
Southwest,2001,18099376
Rocky Mountain,2001,6006793
Far West,2001,27368668
United States,2002,165095100
Alabama,2002,2364828
Alaska,2002,402187
Arizona,2002,2847095
Arkansas,2002,1478929
California,2002,19358164
Colorado,2002,2916941
Connecticut,2002,2117734
Delaware,2002,500640
District of Columbia,2002,757415
Florida,2002,9055715
Georgia,2002,4858288
Hawaii,2002,757721
Idaho,2002,791311
Illinois,2002,7217677
Indiana,2002,3553215
Iowa,2002,1879713
Kansas,2002,1746077
Kentucky,2002,2263430
Louisiana,2002,2399216
Maine,2002,790609
Maryland,2002,3156648
Massachusetts,2002,4021589
Michigan,2002,5466159
Minnesota,2002,3337706
Mississippi,2002,1454774
Missouri,2002,3437494
Montana,2002,564643
Nebraska,2002,1165989
Nevada,2002,1299543
New Hampshire,2002,788484
New Jersey,2002,4791993
New Mexico,2002,984376
New York,2002,10348345
North Carolina,2002,4841986
North Dakota,2002,442537
Ohio,2002,6640240
Oklahoma,2002,1987464
Oregon,2002,2062096
Pennsylvania,2002,6887155
Rhode Island,2002,588132
South Carolina,2002,2248041
South Dakota,2002,509549
Tennessee,2002,3408733
Texas,2002,12291978
Utah,2002,1395322
Vermont,2002,405652
Virginia,2002,4421795
Washington,2002,3489250
West Virginia,2002,871233
Wisconsin,2002,3395166
Wyoming,2002,334123
New England,2002,8712200
Mideast,2002,26442196
Great Lakes,2002,26272457
Plains,2002,12519065
Southeast,2002,39666968
Southwest,2002,18110913
Rocky Mountain,2002,6002340
Far West,2002,27368961
United States,2003,165921500
Alabama,2003,2371430
Alaska,2003,405621
Arizona,2003,2917121
Arkansas,2003,1482035
California,2003,19478671
Colorado,2003,2908619
Connecticut,2003,2112290
Delaware,2003,504099
District of Columbia,2003,754602
Florida,2003,9283397
Georgia,2003,4895247
Hawaii,2003,773638
Idaho,2003,800913
Illinois,2003,7191486
Indiana,2003,3552205
Iowa,2003,1873330
Kansas,2003,1733694
Kentucky,2003,2273325
Louisiana,2003,2418747
Maine,2003,794507
Maryland,2003,3191309
Massachusetts,2003,3991991
Michigan,2003,5441706
Minnesota,2003,3346994
Mississippi,2003,1452904
Missouri,2003,3444535
Montana,2003,571215
Nebraska,2003,1169200
Nevada,2003,1353123
New Hampshire,2003,797648
New Jersey,2003,4825005
New Mexico,2003,1003002
New York,2003,10377811
North Carolina,2003,4851933
North Dakota,2003,443699
Ohio,2003,6620830
Oklahoma,2003,1971242
Oregon,2003,2076533
Pennsylvania,2003,6875863
Rhode Island,2003,594108
South Carolina,2003,2263771
South Dakota,2003,509653
Tennessee,2003,3433441
Texas,2003,12374891
Utah,2003,1405788
Vermont,2003,406050
Virginia,2003,4467387
Washington,2003,3516394
West Virginia,2003,868331
Wisconsin,2003,3413403
Wyoming,2003,336763
New England,2003,8696594
Mideast,2003,26528689
Great Lakes,2003,26219630
Plains,2003,12521105
Southeast,2003,40061948
Southwest,2003,18266256
Rocky Mountain,2003,6023298
Far West,2003,27603980
United States,2004,168839700
Alabama,2004,2425649
Alaska,2004,413864
Arizona,2004,3041476
Arkansas,2004,1505095
California,2004,19784145
Colorado,2004,2958379
Connecticut,2004,2144331
Delaware,2004,518103
District of Columbia,2004,763470
Florida,2004,9644326
Georgia,2004,5021690
Hawaii,2004,797263
Idaho,2004,825327
Illinois,2004,7244982
Indiana,2004,3593283
Iowa,2004,1902227
Kansas,2004,1750876
Kentucky,2004,2300593
Louisiana,2004,2434481
Maine,2004,807625
Maryland,2004,3247756
Massachusetts,2004,4028638
Michigan,2004,5467568
Minnesota,2004,3390372
Mississippi,2004,1463644
Missouri,2004,3478558
Montana,2004,585514
Nebraska,2004,1180180
Nevada,2004,1441158
New Hampshire,2004,812823
New Jersey,2004,4909617
New Mexico,2004,1027003
New York,2004,10513327
North Carolina,2004,4961634
North Dakota,2004,453086
Ohio,2004,6666592
Oklahoma,2004,1998008
Oregon,2004,2132982
Pennsylvania,2004,6951840
Rhode Island,2004,602399
South Carolina,2004,2305664
South Dakota,2004,518410
Tennessee,2004,3507914
Texas,2004,12588027
Utah,2004,1453405
Vermont,2004,413089
Virginia,2004,4587103
Washington,2004,3585355
West Virginia,2004,879293
Wisconsin,2004,3467801
Wyoming,2004,343755
New England,2004,8808905
Mideast,2004,26904113
Great Lakes,2004,26440226
Plains,2004,12673709
Southeast,2004,41037086
Southwest,2004,18654514
Rocky Mountain,2004,6166380
Far West,2004,28154767
United States,2005,172338400
Alabama,2005,2486833
Alaska,2005,421419
Arizona,2005,3219820
Arkansas,2005,1537680
California,2005,20126877
Colorado,2005,3036666
Connecticut,2005,2171980
Delaware,2005,528674
District of Columbia,2005,769796
Florida,2005,10067189
Georgia,2005,5195833
Hawaii,2005,819997
Idaho,2005,861524
Illinois,2005,7334790
Indiana,2005,3634815
Iowa,2005,1933919
Kansas,2005,1765650
Kentucky,2005,2337821
Louisiana,2005,2397386
Maine,2005,809353
Maryland,2005,3310820
Massachusetts,2005,4071326
Michigan,2005,5491738
Minnesota,2005,3448135
Mississippi,2005,1473716
Missouri,2005,3533315
Montana,2005,600577
Nebraska,2005,1192178
Nevada,2005,1533724
New Hampshire,2005,825600
New Jersey,2005,4991146
New Mexico,2005,1050191
New York,2005,10654520
North Carolina,2005,5093049
North Dakota,2005,461645
Ohio,2005,6709210
Oklahoma,2005,2043018
Oregon,2005,2196887
Pennsylvania,2005,7053674
Rhode Island,2005,605736
South Carolina,2005,2356291
South Dakota,2005,527755
Tennessee,2005,3572052
Texas,2005,13003858
Utah,2005,1517566
Vermont,2005,417100
Virginia,2005,4701063
Washington,2005,3687899
West Virginia,2005,890779
Wisconsin,2005,3511432
Wyoming,2005,354378
New England,2005,8901095
Mideast,2005,27308630
Great Lakes,2005,26681985
Plains,2005,12862597
Southeast,2005,42109692
Southwest,2005,19316887
Rocky Mountain,2005,6370711
Far West,2005,28786803
United States,2006,175868600
Alabama,2006,2545556
Alaska,2006,431320
Arizona,2006,3375218
Arkansas,2006,1567682
California,2006,20505187
Colorado,2006,3109368
Connecticut,2006,2202108
Delaware,2006,537109
District of Columbia,2006,777525
Florida,2006,10383866
Georgia,2006,5358038
Hawaii,2006,842413
Idaho,2006,899832
Illinois,2006,7448603
Indiana,2006,3674399
Iowa,2006,1965778
Kansas,2006,1795507
Kentucky,2006,2374830
Louisiana,2006,2413797
Maine,2006,817622
Maryland,2006,3378396
Massachusetts,2006,4110415
Michigan,2006,5457450
Minnesota,2006,3495705
Mississippi,2006,1508314
Missouri,2006,3586453
Montana,2006,616927
Nebraska,2006,1208025
Nevada,2006,1604488
New Hampshire,2006,835582
New Jersey,2006,5057223
New Mexico,2006,1079132
New York,2006,10810191
North Carolina,2006,5251538
North Dakota,2006,471138
Ohio,2006,6747271
Oklahoma,2006,2095927
Oregon,2006,2256424
Pennsylvania,2006,7152678
Rhode Island,2006,611123
South Carolina,2006,2418626
South Dakota,2006,538720
Tennessee,2006,3643562
Texas,2006,13493427
Utah,2006,1592736
Vermont,2006,421004
Virginia,2006,4781825
Washington,2006,3798303
West Virginia,2006,902935
Wisconsin,2006,3546975
Wyoming,2006,370329
New England,2006,8997854
Mideast,2006,27713122
Great Lakes,2006,26874698
Plains,2006,13061326
Southeast,2006,43150569
Southwest,2006,20043704
Rocky Mountain,2006,6589192
Far West,2006,29438135
United States,2007,179543700
Alabama,2007,2604078
Alaska,2007,439825
Arizona,2007,3465075
Arkansas,2007,1582858
California,2007,20888396
Colorado,2007,3217961
Connecticut,2007,2245720
Delaware,2007,544949
District of Columbia,2007,788410
Florida,2007,10531260
Georgia,2007,5490688
Hawaii,2007,864625
Idaho,2007,929495
Illinois,2007,7577634
Indiana,2007,3720040
Iowa,2007,1994031
Kansas,2007,1844355
Kentucky,2007,2414908
Louisiana,2007,2501135
Maine,2007,828212
Maryland,2007,3440607
Massachusetts,2007,4202942
Michigan,2007,5457408
Minnesota,2007,3540491
Mississippi,2007,1538802
Missouri,2007,3636220
Montana,2007,635627
Nebraska,2007,1230935
Nevada,2007,1643860
New Hampshire,2007,848001
New Jersey,2007,5130158
New Mexico,2007,1103300
New York,2007,11082809
North Carolina,2007,5430998
North Dakota,2007,482505
Ohio,2007,6794918
Oklahoma,2007,2149852
Oregon,2007,2307415
Pennsylvania,2007,7265045
Rhode Island,2007,617985
South Carolina,2007,2482325
South Dakota,2007,551957
Tennessee,2007,3702452
Texas,2007,14008182
Utah,2007,1676394
Vermont,2007,425032
Virginia,2007,4869348
Washington,2007,3924936
West Virginia,2007,915669
Wisconsin,2007,3585396
Wyoming,2007,388476
New England,2007,9167892
Mideast,2007,28251978
Great Lakes,2007,27135396
