state,period,amount
Plains,2007,13280494
Southeast,2007,44064521
Southwest,2007,20726409
Rocky Mountain,2007,6847953
Far West,2007,30069057
United States,2008,179213900
Alabama,2008,2582591
Alaska,2008,443538
Arizona,2008,3402808
Arkansas,2008,1579283
California,2008,20654292
Colorado,2008,3251097
Connecticut,2008,2256043
Delaware,2008,544911
District of Columbia,2008,794912
Florida,2008,10269499
Georgia,2008,5450887
Hawaii,2008,858402
Idaho,2008,921093
Illinois,2008,7553059
Indiana,2008,3682931
Iowa,2008,1997615
Kansas,2008,1858069
Kentucky,2008,2402591
Louisiana,2008,2550836
Maine,2008,823517
Maryland,2008,3430882
Massachusetts,2008,4215669
Michigan,2008,5337644
Minnesota,2008,3526499
Mississippi,2008,1537431
Missouri,2008,3625612
Montana,2008,636171
Nebraska,2008,1237365
Nevada,2008,1619014
New Hampshire,2008,844862
New Jersey,2008,5123820
New Mexico,2008,1105447
New York,2008,11197699
North Carolina,2008,5413586
North Dakota,2008,491898
Ohio,2008,6725195
Oklahoma,2008,2186554
Oregon,2008,2288619
Pennsylvania,2008,7278608
Rhode Island,2008,608905
South Carolina,2008,2472423
South Dakota,2008,561007
Tennessee,2008,3677072
Texas,2008,14365941
Utah,2008,1688150
Vermont,2008,424270
Virginia,2008,4870415
Washington,2008,3954911
West Virginia,2008,918366
Wisconsin,2008,3572922
Wyoming,2008,398969
New England,2008,9173266
Mideast,2008,28370832
Great Lakes,2008,26871751
Plains,2008,13298065
Southeast,2008,43724980
Southwest,2008,21060750
Rocky Mountain,2008,6895480
Far West,2008,29818776
United States,2009,173636700
Alabama,2009,2479507
Alaska,2009,442447
Arizona,2009,3228493
Arkansas,2009,1542944
California,2009,19837628
Colorado,2009,3164426
Connecticut,2009,2196161
Delaware,2009,525634
District of Columbia,2009,795912
Florida,2009,9841883
Georgia,2009,5247022
Hawaii,2009,829897
Idaho,2009,880480
Illinois,2009,7304316
Indiana,2009,3523018
Iowa,2009,1959142
Kansas,2009,1813184
Kentucky,2009,2325249
Louisiana,2009,2529953
Maine,2009,800501
Maryland,2009,3359485
Massachusetts,2009,4115997
Michigan,2009,5046501
Minnesota,2009,3424435
Mississippi,2009,1492290
Missouri,2009,3522652
Montana,2009,619407
Nebraska,2009,1223177
Nevada,2009,1512913
New Hampshire,2009,820809
New Jersey,2009,4992063
New Mexico,2009,1072062
New York,2009,10984350
North Carolina,2009,5215744
North Dakota,2009,492417
Ohio,2009,6454964
Oklahoma,2009,2136548
Oregon,2009,2189148
Pennsylvania,2009,7101557
Rhode Island,2009,588284
South Carolina,2009,2367886
South Dakota,2009,556453
Tennessee,2009,3523861
Texas,2009,14202794
Utah,2009,1633982
Vermont,2009,414181
Virginia,2009,4758119
Washington,2009,3815691
West Virginia,2009,899038
Wisconsin,2009,3444622
Wyoming,2009,387473
New England,2009,8935933
Mideast,2009,27759001
Great Lakes,2009,25773421
Plains,2009,12991460
Southeast,2009,42223496
Southwest,2009,20639897
Rocky Mountain,2009,6685768
Far West,2009,28627724
United States,2010,172901700
Alabama,2010,2460298
Alaska,2010,443904
Arizona,2010,3181571
Arkansas,2010,1541272
California,2010,19642444
Colorado,2010,3143637
Connecticut,2010,2171933
Delaware,2010,522400
District of Columbia,2010,809137
Florida,2010,9805154
Georgia,2010,5211352
Hawaii,2010,824460
Idaho,2010,868718
Illinois,2010,7251002
Indiana,2010,3525335
Iowa,2010,1950444
Kansas,2010,1801873
Kentucky,2010,2325921
Louisiana,2010,2536560
Maine,2010,791331
Maryland,2010,3345423
Massachusetts,2010,4115539
Michigan,2010,5038194
Minnesota,2010,3408753
Mississippi,2010,1490731
Missouri,2010,3475301
Montana,2010,616344
Nebraska,2010,1219802
Nevada,2010,1478054
New Hampshire,2010,813707
New Jersey,2010,4960621
New Mexico,2010,1059977
New York,2010,11005742
North Carolina,2010,5178363
North Dakota,2010,503813
Ohio,2010,6418162
Oklahoma,2010,2130128
Oregon,2010,2174324
Pennsylvania,2010,7119776
Rhode Island,2010,586363
South Carolina,2010,2357627
South Dakota,2010,558135
Tennessee,2010,3515804
Texas,2010,14262558
Utah,2010,1620799
Vermont,2010,413312
Virginia,2010,4743189
Washington,2010,3771444
West Virginia,2010,899472
Wisconsin,2010,3426438
Wyoming,2010,385059
New England,2010,8892185
Mideast,2010,27763099
Great Lakes,2010,25659131
Plains,2010,12918121
Southeast,2010,42065743
Southwest,2010,20634234
Rocky Mountain,2010,6634557
Far West,2010,28334630
United States,2011,176091700
Alabama,2011,2497933
Alaska,2011,450364
Arizona,2011,3239045
Arkansas,2011,1561948
California,2011,19986021
Colorado,2011,3204078
Connecticut,2011,2206269
Delaware,2011,530400
District of Columbia,2011,826761
Florida,2011,10036634
Georgia,2011,5325616
Hawaii,2011,835012
Idaho,2011,878541
Illinois,2011,7376100
Indiana,2011,3590196
Iowa,2011,1975960
Kansas,2011,1819044
Kentucky,2011,2368202
Louisiana,2011,2564944
Maine,2011,794389
Maryland,2011,3394831
Massachusetts,2011,4175311
Michigan,2011,5165348
Minnesota,2011,3469201
Mississippi,2011,1509941
Missouri,2011,3506571
Montana,2011,623175
Nebraska,2011,1232457
Nevada,2011,1501839
New Hampshire,2011,818789
New Jersey,2011,5018505
New Mexico,2011,1064267
New York,2011,11294064
North Carolina,2011,5292814
North Dakota,2011,529779
Ohio,2011,6521658
Oklahoma,2011,2158874
Oregon,2011,2201553
Pennsylvania,2011,7217098
Rhode Island,2011,591692
South Carolina,2011,2427409
South Dakota,2011,566480
Tennessee,2011,3589041
Texas,2011,14681432
Utah,2011,1664426
Vermont,2011,416949
Virginia,2011,4802678
Washington,2011,3814305
West Virginia,2011,909035
Wisconsin,2011,3474418
Wyoming,2011,390303
New England,2011,9003399
Mideast,2011,28281659
Great Lakes,2011,26127720
Plains,2011,13099492
Southeast,2011,42886195
Southwest,2011,21143618
Rocky Mountain,2011,6760523
Far West,2011,28789094
United States,2012,178979700
Alabama,2012,2503678
Alaska,2012,459222
Arizona,2012,3295537
Arkansas,2012,1565142
California,2012,20666908
Colorado,2012,3262925
Connecticut,2012,2223221
Delaware,2012,534261
District of Columbia,2012,834413
Florida,2012,10249024
Georgia,2012,5384572
Hawaii,2012,849156
Idaho,2012,883148
Illinois,2012,7434661
Indiana,2012,3642334
Iowa,2012,1993430
Kansas,2012,1841393
Kentucky,2012,2389363
Louisiana,2012,2601174
Maine,2012,796903
Maryland,2012,3438880
Massachusetts,2012,4253327
Michigan,2012,5234473
Minnesota,2012,3505578
Mississippi,2012,1519719
Missouri,2012,3528129
Montana,2012,633135
Nebraska,2012,1251258
Nevada,2012,1519198
New Hampshire,2012,824361
New Jersey,2012,5053839
New Mexico,2012,1067211
New York,2012,11432840
North Carolina,2012,5356443
North Dakota,2012,567388
Ohio,2012,6605931
Oklahoma,2012,2211773
Oregon,2012,2219899
Pennsylvania,2012,7284519
Rhode Island,2012,592978
South Carolina,2012,2453282
South Dakota,2012,574966
Tennessee,2012,3635195
Texas,2012,15095912
Utah,2012,1706060
Vermont,2012,421809
Virginia,2012,4856886
Washington,2012,3909210
West Virginia,2012,918927
Wisconsin,2012,3499405
Wyoming,2012,396704
New England,2012,9112599
Mideast,2012,28578752
Great Lakes,2012,26416804
Plains,2012,13262142
Southeast,2012,43433405
Southwest,2012,21670433
Rocky Mountain,2012,6881972
Far West,2012,29623593
United States,2013,182325100
Alabama,2013,2523338
Alaska,2013,461110
Arizona,2013,3371219
Arkansas,2013,1569249
California,2013,21319995
Colorado,2013,3356175
Connecticut,2013,2246561
Delaware,2013,544797
District of Columbia,2013,848226
Florida,2013,10539255
Georgia,2013,5496783
Hawaii,2013,868122
Idaho,2013,902866
Illinois,2013,7503158
Indiana,2013,3684125
Iowa,2013,2019480
Kansas,2013,1869054
Kentucky,2013,2407562
Louisiana,2013,2641657
Maine,2013,803641
Maryland,2013,3493921
Massachusetts,2013,4353568
Michigan,2013,5323762
Minnesota,2013,3556487
Mississippi,2013,1532583
Missouri,2013,3565922
Montana,2013,641917
Nebraska,2013,1266477
Nevada,2013,1561388
New Hampshire,2013,835032
New Jersey,2013,5132846
New Mexico,2013,1075465
New York,2013,11619137
North Carolina,2013,5437125
North Dakota,2013,587398
Ohio,2013,6680769
Oklahoma,2013,2248291
Oregon,2013,2259714
Pennsylvania,2013,7350854
Rhode Island,2013,602429
South Carolina,2013,2500792
South Dakota,2013,581384
Tennessee,2013,3688630
Texas,2013,15529989
Utah,2013,1753371
Vermont,2013,425029
Virginia,2013,4898765
Washington,2013,3991724
West Virginia,2013,913619
Wisconsin,2013,3539937
Wyoming,2013,400402
New England,2013,9266260
Mideast,2013,28989781
Great Lakes,2013,26731751
Plains,2013,13446202
Southeast,2013,44149358
Southwest,2013,22224964
Rocky Mountain,2013,7054731
Far West,2013,30462053
United States,2014,186235800
Alabama,2014,2552891
Alaska,2014,461396
Arizona,2014,3448834
Arkansas,2014,1587285
California,2014,21998371
Colorado,2014,3466084
Connecticut,2014,2266473
Delaware,2014,556560
District of Columbia,2014,860488
Florida,2014,10937681
Georgia,2014,5670393
Hawaii,2014,882801
Idaho,2014,925190
Illinois,2014,7613440
Indiana,2014,3740889
Iowa,2014,2038927
Kansas,2014,1896042
Kentucky,2014,2439839
Louisiana,2014,2683615
Maine,2014,811156
Maryland,2014,3537998
Massachusetts,2014,4448624
Michigan,2014,5413025
Minnesota,2014,3605742
Mississippi,2014,1557108
Missouri,2014,3597358
Montana,2014,648806
Nebraska,2014,1283095
Nevada,2014,1610463
New Hampshire,2014,844623
New Jersey,2014,5206619
New Mexico,2014,1083392
New York,2014,11866997
North Carolina,2014,5560638
North Dakota,2014,608318
Ohio,2014,6770553
Oklahoma,2014,2272582
Oregon,2014,2322003
Pennsylvania,2014,7437412
Rhode Island,2014,613264
South Carolina,2014,2564432
South Dakota,2014,589753
Tennessee,2014,3770835
Texas,2014,15998113
Utah,2014,1804152
Vermont,2014,429328
Virginia,2014,4954261
Washington,2014,4094679
West Virginia,2014,909962
Wisconsin,2014,3587122
Wyoming,2014,406188
New England,2014,9413468
Mideast,2014,29466074
Great Lakes,2014,27125029
Plains,2014,13619235
Southeast,2014,45188940
Southwest,2014,22802921
Rocky Mountain,2014,7250420
Far West,2014,31369713
United States,2015,190317800
Alabama,2015,2588248
Alaska,2015,461471
Arizona,2015,3548679
Arkansas,2015,1610206
California,2015,22688560
Colorado,2015,3571903
Connecticut,2015,2288407
Delaware,2015,568893
District of Columbia,2015,872926
Florida,2015,11366550
Georgia,2015,5831465
Hawaii,2015,901144
Idaho,2015,948708
Illinois,2015,7748492
Indiana,2015,3796128
Iowa,2015,2059531
Kansas,2015,1911112
Kentucky,2015,2473126
Louisiana,2015,2694755
Maine,2015,816944
Maryland,2015,3603329
Massachusetts,2015,4631712
Michigan,2015,5502276
Minnesota,2015,3665457
Mississippi,2015,1568839
Missouri,2015,3656471
Montana,2015,660194
Nebraska,2015,1303417
Nevada,2015,1665161
New Hampshire,2015,860799
New Jersey,2015,5302698
New Mexico,2015,1091873
New York,2015,12099838
North Carolina,2015,5695713
North Dakota,2015,599278
Ohio,2015,6860104
Oklahoma,2015,2286431
Oregon,2015,2388647
Pennsylvania,2015,7513222
Rhode Island,2015,627005
South Carolina,2015,2636330
South Dakota,2015,593125
Tennessee,2015,3856333
Texas,2015,16409479
Utah,2015,1866188
Vermont,2015,432827
Virginia,2015,5060884
Washington,2015,4199125
West Virginia,2015,901911
Wisconsin,2015,3626124
Wyoming,2015,405762
New England,2015,9657694
Mideast,2015,29960906
Great Lakes,2015,27533124
Plains,2015,13788391
Southeast,2015,46284360
Southwest,2015,23336462
Rocky Mountain,2015,7452755
Far West,2015,32304108
United States,2016,193368900
Alabama,2016,2620993
Alaska,2016,457066
Arizona,2016,3646813
Arkansas,2016,1628582
California,2016,23169071
Colorado,2016,3664707
Connecticut,2016,2300577
Delaware,2016,578770
District of Columbia,2016,891169
Florida,2016,11673432
Georgia,2016,5970472
Hawaii,2016,912896
Idaho,2016,975802
Illinois,2016,7798813
Indiana,2016,3847454
Iowa,2016,2066639
Kansas,2016,1916820
Kentucky,2016,2497911
Louisiana,2016,2689751
Maine,2016,826971
Maryland,2016,3656550
Massachusetts,2016,4710176
Michigan,2016,5577377
Minnesota,2016,3701715
Mississippi,2016,1580194
Missouri,2016,3702082
Montana,2016,667559
Nebraska,2016,1311914
Nevada,2016,1724769
New Hampshire,2016,873508
New Jersey,2016,5391181
New Mexico,2016,1092406
New York,2016,12259662
North Carolina,2016,5829499
North Dakota,2016,579244
Ohio,2016,6928931
Oklahoma,2016,2285022
Oregon,2016,2447178
Pennsylvania,2016,7597336
Rhode Island,2016,632532
South Carolina,2016,2699580
South Dakota,2016,598061
Tennessee,2016,3946960
Texas,2016,16674238
Utah,2016,1933340
Vermont,2016,434040
Virginia,2016,5143667
Washington,2016,4310173
West Virginia,2016,887107
Wisconsin,2016,3660276
Wyoming,2016,397914
New England,2016,9777804
Mideast,2016,30374668
Great Lakes,2016,27812851
Plains,2016,13876475
Southeast,2016,47168148
Southwest,2016,23698479
Rocky Mountain,2016,7639322
Far West,2016,33021153
United States,2017,196132200
Alabama,2017,2652406
Alaska,2017,454094
Arizona,2017,3727687
Arkansas,2017,1640722
California,2017,23584800
Colorado,2017,3743025
Connecticut,2017,2314217
Delaware,2017,584066
District of Columbia,2017,899124
Florida,2017,11912889
Georgia,2017,6083808
Hawaii,2017,921881
Idaho,2017,1002052
Illinois,2017,7864869
Indiana,2017,3892885
Iowa,2017,2070488
Kansas,2017,1923407
Kentucky,2017,2520748
Louisiana,2017,2697447
Maine,2017,835702
Maryland,2017,3697398
Massachusetts,2017,4777678
Michigan,2017,5646377
Minnesota,2017,3751766
Mississippi,2017,1590823
Missouri,2017,3738168
Montana,2017,675904
Nebraska,2017,1319214
Nevada,2017,1775729
New Hampshire,2017,883304
New Jersey,2017,5470573
New Mexico,2017,1097872
New York,2017,12436400
North Carolina,2017,5919928
North Dakota,2017,578334
Ohio,2017,6995045
Oklahoma,2017,2302152
Oregon,2017,2501057
Pennsylvania,2017,7685285
Rhode Island,2017,639149
South Carolina,2017,2749060
South Dakota,2017,602932
Tennessee,2017,4003653
Texas,2017,16962938
Utah,2017,1987836
Vermont,2017,436750
Virginia,2017,5200373
Washington,2017,4401372
West Virginia,2017,888984
Wisconsin,2017,3691630
Wyoming,2017,398199
