industry,period,amount
All industry total,2005:Q1,12736291
  Private industries,2005:Q1,11108702
"      Agriculture, forestry, fishing, and hunting",2005:Q1,129116
"      Mining, quarrying, and oil and gas extraction",2005:Q1,197570
      Utilities,2005:Q1,195184
      Construction,2005:Q1,631084
      Manufacturing,2005:Q1,1681311
          Durable goods manufacturing,2005:Q1,947377
          Nondurable goods manufacturing,2005:Q1,733934
      Wholesale trade,2005:Q1,747324
      Retail trade,2005:Q1,831978
      Transportation and warehousing,2005:Q1,357536
      Information,2005:Q1,639735
      Finance and insurance,2005:Q1,954946
      Real estate and rental and leasing,2005:Q1,1622049
"      Professional, scientific, and technical services",2005:Q1,826866
      Management of companies and enterprises,2005:Q1,213683
      Administrative and support and waste management and remediation services,2005:Q1,370319
      Educational services,2005:Q1,118840
      Health care and social assistance,2005:Q1,812908
"      Arts, entertainment, and recreation",2005:Q1,118807
      Accommodation and food services,2005:Q1,352691
      Other services (except government and government enterprises),2005:Q1,306755
  Government and government enterprises,2005:Q1,1627589
All industry total,2005:Q2,12896006
  Private industries,2005:Q2,11255828
"      Agriculture, forestry, fishing, and hunting",2005:Q2,129700
"      Mining, quarrying, and oil and gas extraction",2005:Q2,211438
      Utilities,2005:Q2,192996
      Construction,2005:Q2,646391
      Manufacturing,2005:Q2,1679406
          Durable goods manufacturing,2005:Q2,950023
          Nondurable goods manufacturing,2005:Q2,729383
      Wholesale trade,2005:Q2,750357
      Retail trade,2005:Q2,842320
      Transportation and warehousing,2005:Q2,368204
      Information,2005:Q2,650115
      Finance and insurance,2005:Q2,979744
      Real estate and rental and leasing,2005:Q2,1644481
"      Professional, scientific, and technical services",2005:Q2,834990
      Management of companies and enterprises,2005:Q2,216267
      Administrative and support and waste management and remediation services,2005:Q2,379133
      Educational services,2005:Q2,120306
      Health care and social assistance,2005:Q2,822367
"      Arts, entertainment, and recreation",2005:Q2,121322
      Accommodation and food services,2005:Q2,356527
      Other services (except government and government enterprises),2005:Q2,309764
  Government and government enterprises,2005:Q2,1640178
All industry total,2005:Q3,13126480
  Private industries,2005:Q3,11469681
"      Agriculture, forestry, fishing, and hunting",2005:Q3,129232
"      Mining, quarrying, and oil and gas extraction",2005:Q3,233826
      Utilities,2005:Q3,203485
      Construction,2005:Q3,665914
      Manufacturing,2005:Q3,1715191
          Durable goods manufacturing,2005:Q3,963696
          Nondurable goods manufacturing,2005:Q3,751495
      Wholesale trade,2005:Q3,763889
      Retail trade,2005:Q3,855415
      Transportation and warehousing,2005:Q3,381907
      Information,2005:Q3,638836
      Finance and insurance,2005:Q3,1007397
      Real estate and rental and leasing,2005:Q3,1663365
"      Professional, scientific, and technical services",2005:Q3,848146
      Management of companies and enterprises,2005:Q3,222485
      Administrative and support and waste management and remediation services,2005:Q3,383980
      Educational services,2005:Q3,121946
      Health care and social assistance,2005:Q3,835349
"      Arts, entertainment, and recreation",2005:Q3,123884
      Accommodation and food services,2005:Q3,361695
      Other services (except government and government enterprises),2005:Q3,313738
  Government and government enterprises,2005:Q3,1656799
All industry total,2005:Q4,13301844
  Private industries,2005:Q4,11630952
"      Agriculture, forestry, fishing, and hunting",2005:Q4,126234
"      Mining, quarrying, and oil and gas extraction",2005:Q4,263751
      Utilities,2005:Q4,213742
      Construction,2005:Q4,673029
      Manufacturing,2005:Q4,1740784
          Durable goods manufacturing,2005:Q4,976795
          Nondurable goods manufacturing,2005:Q4,763989
      Wholesale trade,2005:Q4,775905
      Retail trade,2005:Q4,865356
      Transportation and warehousing,2005:Q4,392827
      Information,2005:Q4,637523
      Finance and insurance,2005:Q4,1025289
      Real estate and rental and leasing,2005:Q4,1666954
"      Professional, scientific, and technical services",2005:Q4,861270
      Management of companies and enterprises,2005:Q4,224944
      Administrative and support and waste management and remediation services,2005:Q4,388762
      Educational services,2005:Q4,122907
      Health care and social assistance,2005:Q4,844894
"      Arts, entertainment, and recreation",2005:Q4,125032
      Accommodation and food services,2005:Q4,365124
      Other services (except government and government enterprises),2005:Q4,316625
  Government and government enterprises,2005:Q4,1670892
All industry total,2006:Q1,13567564
  Private industries,2006:Q1,11867770
"      Agriculture, forestry, fishing, and hunting",2006:Q1,123268
"      Mining, quarrying, and oil and gas extraction",2006:Q1,268233
      Utilities,2006:Q1,223399
      Construction,2006:Q1,700067
      Manufacturing,2006:Q1,1789106
          Durable goods manufacturing,2006:Q1,1005485
          Nondurable goods manufacturing,2006:Q1,783622
      Wholesale trade,2006:Q1,796904
      Retail trade,2006:Q1,875568
      Transportation and warehousing,2006:Q1,399429
      Information,2006:Q1,630680
      Finance and insurance,2006:Q1,1046555
      Real estate and rental and leasing,2006:Q1,1676171
"      Professional, scientific, and technical services",2006:Q1,889036
      Management of companies and enterprises,2006:Q1,233332
      Administrative and support and waste management and remediation services,2006:Q1,395786
      Educational services,2006:Q1,127202
      Health care and social assistance,2006:Q1,867698
"      Arts, entertainment, and recreation",2006:Q1,128442
      Accommodation and food services,2006:Q1,375212
      Other services (except government and government enterprises),2006:Q1,321680
  Government and government enterprises,2006:Q1,1699795
All industry total,2006:Q2,13717577
  Private industries,2006:Q2,12000493
"      Agriculture, forestry, fishing, and hunting",2006:Q2,126870
"      Mining, quarrying, and oil and gas extraction",2006:Q2,273125
      Utilities,2006:Q2,229910
      Construction,2006:Q2,700263
      Manufacturing,2006:Q2,1809013
          Durable goods manufacturing,2006:Q2,1005478
          Nondurable goods manufacturing,2006:Q2,803536
      Wholesale trade,2006:Q2,811877
      Retail trade,2006:Q2,878114
      Transportation and warehousing,2006:Q2,407035
      Information,2006:Q2,649429
      Finance and insurance,2006:Q2,1040676
      Real estate and rental and leasing,2006:Q2,1699742
"      Professional, scientific, and technical services",2006:Q2,896638
      Management of companies and enterprises,2006:Q2,237736
      Administrative and support and waste management and remediation services,2006:Q2,396374
      Educational services,2006:Q2,129158
      Health care and social assistance,2006:Q2,880325
"      Arts, entertainment, and recreation",2006:Q2,129923
      Accommodation and food services,2006:Q2,378396
      Other services (except government and government enterprises),2006:Q2,325890
  Government and government enterprises,2006:Q2,1717084
All industry total,2006:Q3,13825350
  Private industries,2006:Q3,12088128
"      Agriculture, forestry, fishing, and hunting",2006:Q3,130169
"      Mining, quarrying, and oil and gas extraction",2006:Q3,277486
      Utilities,2006:Q3,235233
      Construction,2006:Q3,693016
      Manufacturing,2006:Q3,1805602
          Durable goods manufacturing,2006:Q3,995580
          Nondurable goods manufacturing,2006:Q3,810022
      Wholesale trade,2006:Q3,822404
      Retail trade,2006:Q3,879677
      Transportation and warehousing,2006:Q3,409404
      Information,2006:Q3,662111
      Finance and insurance,2006:Q3,1045043
      Real estate and rental and leasing,2006:Q3,1732717
"      Professional, scientific, and technical services",2006:Q3,905693
      Management of companies and enterprises,2006:Q3,238102
      Administrative and support and waste management and remediation services,2006:Q3,398518
      Educational services,2006:Q3,130722
      Health care and social assistance,2006:Q3,885894
"      Arts, entertainment, and recreation",2006:Q3,129950
      Accommodation and food services,2006:Q3,379857
      Other services (except government and government enterprises),2006:Q3,326529
  Government and government enterprises,2006:Q3,1737222
All industry total,2006:Q4,13982428
  Private industries,2006:Q4,12225409
"      Agriculture, forestry, fishing, and hunting",2006:Q4,133078
"      Mining, quarrying, and oil and gas extraction",2006:Q4,274778
      Utilities,2006:Q4,231450
      Construction,2006:Q4,699567
      Manufacturing,2006:Q4,1813164
          Durable goods manufacturing,2006:Q4,1014894
          Nondurable goods manufacturing,2006:Q4,798270
      Wholesale trade,2006:Q4,831515
      Retail trade,2006:Q4,878897
      Transportation and warehousing,2006:Q4,414522
      Information,2006:Q4,653848
      Finance and insurance,2006:Q4,1063079
      Real estate and rental and leasing,2006:Q4,1778857
"      Professional, scientific, and technical services",2006:Q4,923571
      Management of companies and enterprises,2006:Q4,244795
      Administrative and support and waste management and remediation services,2006:Q4,406760
      Educational services,2006:Q4,132557
      Health care and social assistance,2006:Q4,898090
"      Arts, entertainment, and recreation",2006:Q4,132801
      Accommodation and food services,2006:Q4,385316
      Other services (except government and government enterprises),2006:Q4,328765
  Government and government enterprises,2006:Q4,1757019
All industry total,2007:Q1,14147927
  Private industries,2007:Q1,12356901
"      Agriculture, forestry, fishing, and hunting",2007:Q1,140721
"      Mining, quarrying, and oil and gas extraction",2007:Q1,280897
      Utilities,2007:Q1,232162
      Construction,2007:Q1,713733
      Manufacturing,2007:Q1,1805377
          Durable goods manufacturing,2007:Q1,1010215
          Nondurable goods manufacturing,2007:Q1,795162
      Wholesale trade,2007:Q1,850442
      Retail trade,2007:Q1,876085
      Transportation and warehousing,2007:Q1,403630
      Information,2007:Q1,669021
      Finance and insurance,2007:Q1,1082867
      Real estate and rental and leasing,2007:Q1,1797317
"      Professional, scientific, and technical services",2007:Q1,935092
      Management of companies and enterprises,2007:Q1,257207
      Administrative and support and waste management and remediation services,2007:Q1,414924
      Educational services,2007:Q1,135539
      Health care and social assistance,2007:Q1,905736
"      Arts, entertainment, and recreation",2007:Q1,135701
      Accommodation and food services,2007:Q1,389988
      Other services (except government and government enterprises),2007:Q1,330463
  Government and government enterprises,2007:Q1,1791026
All industry total,2007:Q2,14336405
  Private industries,2007:Q2,12528769
"      Agriculture, forestry, fishing, and hunting",2007:Q2,136678
"      Mining, quarrying, and oil and gas extraction",2007:Q2,313939
      Utilities,2007:Q2,237026
      Construction,2007:Q2,721586
      Manufacturing,2007:Q2,1863936
          Durable goods manufacturing,2007:Q2,1029966
          Nondurable goods manufacturing,2007:Q2,833969
      Wholesale trade,2007:Q2,861228
      Retail trade,2007:Q2,878845
      Transportation and warehousing,2007:Q2,411137
      Information,2007:Q2,691917
      Finance and insurance,2007:Q2,1055692
      Real estate and rental and leasing,2007:Q2,1812910
"      Professional, scientific, and technical services",2007:Q2,947320
      Management of companies and enterprises,2007:Q2,257875
      Administrative and support and waste management and remediation services,2007:Q2,425450
      Educational services,2007:Q2,137107
      Health care and social assistance,2007:Q2,917121
"      Arts, entertainment, and recreation",2007:Q2,136772
      Accommodation and food services,2007:Q2,392238
      Other services (except government and government enterprises),2007:Q2,329991
  Government and government enterprises,2007:Q2,1807636
All industry total,2007:Q3,14482806
  Private industries,2007:Q3,12654383
"      Agriculture, forestry, fishing, and hunting",2007:Q3,139014
"      Mining, quarrying, and oil and gas extraction",2007:Q3,319191
      Utilities,2007:Q3,239202
      Construction,2007:Q3,719546
      Manufacturing,2007:Q3,1872052
          Durable goods manufacturing,2007:Q3,1046724
          Nondurable goods manufacturing,2007:Q3,825328
      Wholesale trade,2007:Q3,862451
      Retail trade,2007:Q3,878827
      Transportation and warehousing,2007:Q3,407139
      Information,2007:Q3,716902
      Finance and insurance,2007:Q3,1037394
      Real estate and rental and leasing,2007:Q3,1848807
"      Professional, scientific, and technical services",2007:Q3,978901
      Management of companies and enterprises,2007:Q3,260362
      Administrative and support and waste management and remediation services,2007:Q3,436548
      Educational services,2007:Q3,139533
      Health care and social assistance,2007:Q3,932288
"      Arts, entertainment, and recreation",2007:Q3,138742
      Accommodation and food services,2007:Q3,396175
      Other services (except government and government enterprises),2007:Q3,331311
  Government and government enterprises,2007:Q3,1828423
All industry total,2007:Q4,14597471
  Private industries,2007:Q4,12749510
"      Agriculture, forestry, fishing, and hunting",2007:Q4,151584
"      Mining, quarrying, and oil and gas extraction",2007:Q4,342046
      Utilities,2007:Q4,231907
      Construction,2007:Q4,705088
      Manufacturing,2007:Q4,1875956
          Durable goods manufacturing,2007:Q4,1033235
          Nondurable goods manufacturing,2007:Q4,842721
      Wholesale trade,2007:Q4,869251
      Retail trade,2007:Q4,876668
      Transportation and warehousing,2007:Q4,416483
      Information,2007:Q4,731710
      Finance and insurance,2007:Q4,986133
      Real estate and rental and leasing,2007:Q4,1887310
"      Professional, scientific, and technical services",2007:Q4,1007955
      Management of companies and enterprises,2007:Q4,262711
      Administrative and support and waste management and remediation services,2007:Q4,444529
      Educational services,2007:Q4,142500
      Health care and social assistance,2007:Q4,948531
"      Arts, entertainment, and recreation",2007:Q4,139338
      Accommodation and food services,2007:Q4,399468
      Other services (except government and government enterprises),2007:Q4,330343
  Government and government enterprises,2007:Q4,1847961
All industry total,2008:Q1,14578856
  Private industries,2008:Q1,12698222
"      Agriculture, forestry, fishing, and hunting",2008:Q1,165140
"      Mining, quarrying, and oil and gas extraction",2008:Q1,362944
      Utilities,2008:Q1,222079
      Construction,2008:Q1,670524
      Manufacturing,2008:Q1,1814539
          Durable goods manufacturing,2008:Q1,1009200
          Nondurable goods manufacturing,2008:Q1,805339
      Wholesale trade,2008:Q1,870558
      Retail trade,2008:Q1,850766
      Transportation and warehousing,2008:Q1,412956
      Information,2008:Q1,726089
      Finance and insurance,2008:Q1,1010799
      Real estate and rental and leasing,2008:Q1,1886395
"      Professional, scientific, and technical services",2008:Q1,1028878
      Management of companies and enterprises,2008:Q1,259054
      Administrative and support and waste management and remediation services,2008:Q1,438943
      Educational services,2008:Q1,144860
      Health care and social assistance,2008:Q1,970416
"      Arts, entertainment, and recreation",2008:Q1,138821
      Accommodation and food services,2008:Q1,395246
      Other services (except government and government enterprises),2008:Q1,329213
  Government and government enterprises,2008:Q1,1880634
All industry total,2008:Q2,14722003
  Private industries,2008:Q2,12822436
"      Agriculture, forestry, fishing, and hunting",2008:Q2,158589
"      Mining, quarrying, and oil and gas extraction",2008:Q2,436859
      Utilities,2008:Q2,237402
      Construction,2008:Q2,655685
      Manufacturing,2008:Q2,1832477
          Durable goods manufacturing,2008:Q2,1006384
          Nondurable goods manufacturing,2008:Q2,826092
      Wholesale trade,2008:Q2,882389
      Retail trade,2008:Q2,858541
      Transportation and warehousing,2008:Q2,418382
      Information,2008:Q2,743977
      Finance and insurance,2008:Q2,953139
      Real estate and rental and leasing,2008:Q2,1895531
"      Professional, scientific, and technical services",2008:Q2,1052258
      Management of companies and enterprises,2008:Q2,260899
      Administrative and support and waste management and remediation services,2008:Q2,438858
      Educational services,2008:Q2,147262
      Health care and social assistance,2008:Q2,985766
"      Arts, entertainment, and recreation",2008:Q2,139492
      Accommodation and food services,2008:Q2,395747
      Other services (except government and government enterprises),2008:Q2,329184
  Government and government enterprises,2008:Q2,1899566
All industry total,2008:Q3,14750202
  Private industries,2008:Q3,12827860
"      Agriculture, forestry, fishing, and hunting",2008:Q3,149507
"      Mining, quarrying, and oil and gas extraction",2008:Q3,443445
      Utilities,2008:Q3,246426
      Construction,2008:Q3,645325
      Manufacturing,2008:Q3,1844838
          Durable goods manufacturing,2008:Q3,998652
          Nondurable goods manufacturing,2008:Q3,846186
      Wholesale trade,2008:Q3,886991
      Retail trade,2008:Q3,863663
      Transportation and warehousing,2008:Q3,423715
      Information,2008:Q3,743838
      Finance and insurance,2008:Q3,889702
      Real estate and rental and leasing,2008:Q3,1897310
"      Professional, scientific, and technical services",2008:Q3,1068651
      Management of companies and enterprises,2008:Q3,263623
      Administrative and support and waste management and remediation services,2008:Q3,439124
      Educational services,2008:Q3,151091
      Health care and social assistance,2008:Q3,1003111
"      Arts, entertainment, and recreation",2008:Q3,140126
      Accommodation and food services,2008:Q3,396533
      Other services (except government and government enterprises),2008:Q3,330839
  Government and government enterprises,2008:Q3,1922342
All industry total,2008:Q4,14455348
  Private industries,2008:Q4,12516212
"      Agriculture, forestry, fishing, and hunting",2008:Q4,144863
"      Mining, quarrying, and oil and gas extraction",2008:Q4,362581
      Utilities,2008:Q4,244150
      Construction,2008:Q4,640402
      Manufacturing,2008:Q4,1764627
          Durable goods manufacturing,2008:Q4,963540
          Nondurable goods manufacturing,2008:Q4,801087
      Wholesale trade,2008:Q4,871316
      Retail trade,2008:Q4,851473
      Transportation and warehousing,2008:Q4,434353
      Information,2008:Q4,708030
      Finance and insurance,2008:Q4,775263
      Real estate and rental and leasing,2008:Q4,1909933
"      Professional, scientific, and technical services",2008:Q4,1063558
      Management of companies and enterprises,2008:Q4,262489
      Administrative and support and waste management and remediation services,2008:Q4,436020
      Educational services,2008:Q4,153928
      Health care and social assistance,2008:Q4,1024799
"      Arts, entertainment, and recreation",2008:Q4,142095
      Accommodation and food services,2008:Q4,392194
      Other services (except government and government enterprises),2008:Q4,334137
  Government and government enterprises,2008:Q4,1939136
All industry total,2009:Q1,14287426
  Private industries,2009:Q1,12337256
"      Agriculture, forestry, fishing, and hunting",2009:Q1,130316
"      Mining, quarrying, and oil and gas extraction",2009:Q1,301473
      Utilities,2009:Q1,256532
      Construction,2009:Q1,606301
      Manufacturing,2009:Q1,1711022
          Durable goods manufacturing,2009:Q1,891668
          Nondurable goods manufacturing,2009:Q1,819354
      Wholesale trade,2009:Q1,828839
      Retail trade,2009:Q1,837118
      Transportation and warehousing,2009:Q1,405638
      Information,2009:Q1,703105
      Finance and insurance,2009:Q1,909720
      Real estate and rental and leasing,2009:Q1,1914623
"      Professional, scientific, and technical services",2009:Q1,1024989
      Management of companies and enterprises,2009:Q1,239603
      Administrative and support and waste management and remediation services,2009:Q1,418504
      Educational services,2009:Q1,161084
      Health care and social assistance,2009:Q1,1035587
"      Arts, entertainment, and recreation",2009:Q1,139247
      Accommodation and food services,2009:Q1,383197
      Other services (except government and government enterprises),2009:Q1,330356
  Government and government enterprises,2009:Q1,1950170
All industry total,2009:Q2,14242156
  Private industries,2009:Q2,12277731
"      Agriculture, forestry, fishing, and hunting",2009:Q2,132240
"      Mining, quarrying, and oil and gas extraction",2009:Q2,275880
      Utilities,2009:Q2,246350
      Construction,2009:Q2,580832
      Manufacturing,2009:Q2,1699522
          Durable goods manufacturing,2009:Q2,861673
          Nondurable goods manufacturing,2009:Q2,837848
      Wholesale trade,2009:Q2,811806
      Retail trade,2009:Q2,837674
      Transportation and warehousing,2009:Q2,393143
      Information,2009:Q2,699738
      Finance and insurance,2009:Q2,980602
      Real estate and rental and leasing,2009:Q2,1902377
"      Professional, scientific, and technical services",2009:Q2,999642
      Management of companies and enterprises,2009:Q2,245488
